id	title_old	title_new	kind	index	mal_url	status
1	進撃の巨人 (OP1)	進撃の巨人 (OP1)	opening	1	https://myanimelist.net/anime/16498	ok
2	デスノート (OP1)	デスノート (OP1)	opening	1	https://myanimelist.net/anime/1535	ok
3	鬼滅の刃 (OP1)	鬼滅の刃 (OP1)	opening	1	https://myanimelist.net/anime/38000	ok
4	呪術廻戦 (OP1)	呪術廻戦 (OP1)	opening	1	https://myanimelist.net/anime/40748	ok
5	ナルト (OP1)	ナルト (OP1)	opening	1	https://myanimelist.net/anime/20	ok
6	One Piece (OP1)	ONE PIECE (OP1)	opening	1	https://myanimelist.net/anime/21	ok
7	鋼の錬金術師 FULLMETAL ALCHEMIST (OP1)	鋼の錬金術師 FULLMETAL ALCHEMIST (OP1)	opening	1	https://myanimelist.net/anime/5114	ok
8	東京喰種-トーキョーグール- (OP1)	東京喰種-トーキョーグール- (OP1)	opening	1	https://myanimelist.net/anime/22319	ok
9	Steins;Gate (OP1)	STEINS;GATE (OP1)	opening	1	https://myanimelist.net/anime/9253	ok
10	コードギアス 反逆のルルーシュ (OP1)	コードギアス 反逆のルルーシュ (OP1)	opening	1	https://myanimelist.net/anime/1575	ok
11	ソードアート・オンライン (OP1)	ソードアート・オンライン (OP1)	opening	1	https://myanimelist.net/anime/11757	ok
12	フェイト/ゼロ (OP1)	フェイト/ゼロ (OP1)	opening	1	https://myanimelist.net/anime/10087	ok
13	Fate/stay night: Unlimited Blade Works (OP1)	Fate/stay night [Unlimited Blade Works] (OP1)	opening	1	https://myanimelist.net/anime/22297	ok
14	ノーゲーム・ノーライフ (OP1)	ノーゲーム・ノーライフ (OP1)	opening	1	https://myanimelist.net/anime/19815	ok
15	ログ・ホライズン (OP1)	ログ・ホライズン (OP1)	opening	1	https://myanimelist.net/anime/17265	ok
16	オーバーロード (OP1)	オーバーロード (OP1)	opening	1	https://myanimelist.net/anime/29803	ok
17	幼女戦記 (OP1)	幼女戦記 (OP1)	opening	1	https://myanimelist.net/anime/32615	ok
